word,letters,count,letter_1,letter_2,letter_3,letter_4,letter_5,letter_6,letter_7
花鳥風月,"['花', '鳥', '風', '月']",4,花,鳥,風,月,,,
我田引水,"['我', '田', '引', '水']",4,我,田,引,水,,,
起死回生,"['起', '死', '回', '生']",4,起,死,回,生,,,
鬼出電入,"['鬼', '出', '電', '入']",4,鬼,出,電,入,,,
帰馬放牛,"['帰', '馬', '放', '牛']",4,帰,馬,放,牛,,,
牛飲馬食,"['牛', '飲', '馬', '食']",4,牛,飲,馬,食,,,
旧雨今雨,"['旧', '雨', '今', '雨']",4,旧,雨,今,雨,,,
急転直下,"['急', '転', '直', '下']",4,急,転,直,下,,,
鏡花水月,"['鏡', '花', '水', '月']",4,鏡,花,水,月,,,
挙足軽重,"['挙', '足', '軽', '重']",4,挙,足,軽,重,,,
金科玉条,"['金', '科', '玉', '条']",4,金,科,玉,条,,,
金口木舌,"['金', '口', '木', '舌']",4,金,口,木,舌,,,
金枝玉葉,"['金', '枝', '玉', '葉']",4,金,枝,玉,葉,,,
金城湯池,"['金', '城', '湯', '池']",4,金,城,湯,池,,,
金声玉振,"['金', '声', '玉', '振']",4,金,声,玉,振,,,
空前絶後,"['空', '前', '絶', '後']",4,空,前,絶,後,,,
空理空論,"['空', '理', '空', '論']",4,空,理,空,論,,,
苦学力行,"['苦', '学', '力', '行']",4,苦,学,力,行,,,
君子万年,"['君', '子', '万', '年']",4,君,子,万,年,,,
群集心理,"['群', '集', '心', '理']",4,群,集,心,理,,,
形名参同,"['形', '名', '参', '同']",4,形,名,参,同,,,
外題学問,"['外', '題', '学', '問']",4,外,題,学,問,,,
月下氷人,"['月', '下', '氷', '人']",4,月,下,氷,人,,,
厳正中立,"['厳', '正', '中', '立']",4,厳,正,中,立,,,
言文一致,"['言', '文', '一', '致']",4,言,文,一,致,,,
行雲流水,"['行', '雲', '流', '水']",4,行,雲,流,水,,,
高山景行,"['高', '山', '景', '行']",4,高,山,景,行,,,
高山流水,"['高', '山', '流', '水']",4,高,山,流,水,,,
口耳講説,"['口', '耳', '講', '説']",4,口,耳,講,説,,,
口耳四寸,"['口', '耳', '四', '寸']",4,口,耳,四,寸,,,
広大無辺,"['広', '大', '無', '辺']",4,広,大,無,辺,,,
交頭接耳,"['交', '頭', '接', '耳']",4,交,頭,接,耳,,,
公明正大,"['公', '明', '正', '大']",4,公,明,正,大,,,
古往今来,"['古', '往', '今', '来']",4,古,往,今,来,,,
国色天香,"['国', '色', '天', '香']",4,国,色,天,香,,,
黒風白雨,"['黒', '風', '白', '雨']",4,黒,風,白,雨,,,
古今東西,"['古', '今', '東', '西']",4,古,今,東,西,,,
古今独歩,"['古', '今', '独', '歩']",4,古,今,独,歩,,,
牛頭馬頭,"['牛', '頭', '馬', '頭']",4,牛,頭,馬,頭,,,
五体投地,"['五', '体', '投', '地']",4,五,体,投,地,,,
五風十雨,"['五', '風', '十', '雨']",4,五,風,十,雨,,,
五里霧中,"['五', '里', '霧', '中']",4,五,里,霧,中,,,
言語道断,"['言', '語', '道', '断']",4,言,語,道,断,,,
才子多病,"['才', '子', '多', '病']",4,才,子,多,病,,,
作史三長,"['作', '史', '三', '長']",4,作,史,三,長,,,
作文三上,"['作', '文', '三', '上']",4,作,文,三,上,,,
三界無安,"['三', '界', '無', '安']",4,三,界,無,安,,,
三界流転,"['三', '界', '流', '転']",4,三,界,流,転,,,
三寒四温,"['三', '寒', '四', '温']",4,三,寒,四,温,,,
山高水長,"['山', '高', '水', '長']",4,山,高,水,長,,,
三三五五,"['三', '三', '五', '五']",4,三,三,五,五,,,
三思後行,"['三', '思', '後', '行']",4,三,思,後,行,,,
山紫水明,"['山', '紫', '水', '明']",4,山,紫,水,明,,,
三者三様,"['三', '者', '三', '様']",4,三,者,三,様,,,
三千世界,"['三', '千', '世', '界']",4,三,千,世,界,,,
三百代言,"['三', '百', '代', '言']",4,三,百,代,言,,,
三平二満,"['三', '平', '二', '満']",4,三,平,二,満,,,
三位一体,"['三', '位', '一', '体']",4,三,位,一,体,,,
三令五申,"['三', '令', '五', '申']",4,三,令,五,申,,,
四海兄弟,"['四', '海', '兄', '弟']",4,四,海,兄,弟,,,
自給自足,"['自', '給', '自', '足']",4,自,給,自,足,,,
